Carimbo de data/hora,,Qual é a sua idade?,Qual país você reside?,Qual é a sua afiliação?,Qual é o seu nível de educação?,Qual é a sua principal ocupação?,Qual é o seu gênero?,Qual é a sua experiência profissional na Academia?,Qual é a sua experiência profissional na Indústria?,Qual é a sua experiencia com modelos estáticos?,Qual é a sua experiência com modelos executáveis?,"Quando a CAPTCHA falhar, o usuário será capaz de postar seu comentário?",Quão confiante você está sobre sua resposta?,Qual serviço irá publicar os comentários?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade com o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos.",O que acontece se o método saveOrUpdate() lançar uma exceção?,Quão confiante você está sobre sua resposta?,O método close() será chamado se qualquer exceção for lançada?,Quão confiante você está sobre sua resposta?,Você sentiu alguma dificuldade para entender o modelo?,"Você consegue, mentalmente, executar/depurar o modelo?","Você sentiu alguma dificuldade? Por favor, conte-nos!","Na sua opinião, quais foram os pontos fortes sobre o uso de modelos executáveis para representar os casos?","Na sua opinião, quais foram os pontos fracos sobre o uso de modelos executáveis para representar os casos?",O que poderia ser acrescentado para a percepção visual dos modelos executáveis para melhorar e/ou enriquecer informações úteis para um engenheiro de software? ,Quais oportunidades de aplicação você consegue vislumbrar para o uso de modelos executáveis em seus projetos de engenharia de software?,Você sentiu alguma dificuldade ou problema neste survey?
21/11/2019 01:23:09,Eu concordo,34,Brasil,UNIRIO,Mestrado,Pesquisador Acadêmico,Feminino,5 anos a 10 anos,1 ano a 5 anos,Eu uso em todos os projetos,Eu nunca usei antes,Eu não sei,5,<<service>> : PluckService,2,3,2,"Como não tenho experiência com simulação tive dificuldades de compreender o contexto e consequentemente o modelo apresentado. Não me pareceu intuitivo. Não entendi bem do que trata o cenário descrito: ""O cenário do primeiro caso mostra como usuários que comentam em algum artigo são enviados ao Pluck usando várias tecnologias AJAX."". Porém eu não sei o quanto isto influencia. De
cara eu não consegui imaginar como seria o cenário real de usuários comentando artigos. Mas como falei, talvez por não ter experiência com simulação e não entender o cenário descrito tenha tido dificuldade por isso!",Tentará executar o comando rollback(),2,Eu não sei,4,3,3,Este cenário foi melhor explicado se comparado ao primeiro,,"Penso que os modelos executáveis não são práticos. Todo o esforço gasto para criar um modelo executado pode ser alocado na codificação, por exemplo. Um modelo estático bem feito pode ser mais facilmente compreendido porque imagino que há uma probabilidade maior de todos os membros de um equipe saber interpretar um modelo estático.",,não consegui vislumbrar um uso para modelos executáveis,"Não senti problemas neste survey, a dificuldade esteve relacionada ao meu desconhecimento sobre modelos executáveis."
27/11/2019 15:23:02,Eu concordo,24,Brasil,UFG,Estudante de Graduação,Apenas estudante,Feminino,1 ano a 5 anos,Nenhuma,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,,<<service>> DWRService,2,2,2,,Tentará executar o comando commit(),1,Não,2,3,2,Acho que o fato de não trabalhar diretamente com programação me prejudica.,Facilita a compreensão dos fluxos,,,Me parece ser um material adicional na hora de compreender o sistema.,"Sim, mas não sei se não trabalhar na área afeta em ter ou não dificuldade."
04/02/2020 17:06:59,Eu concordo,37,Brasil,Tempo Telecom,Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,Nenhuma,15 anos a 20 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Não,2,<<service>> DWRService,3,1,2,,Tentará executar o comando rollback(),2,Não,2,2,2,,Os videos estão bastante confusos,A demonstração é falha,,,
29/02/2020 11:21:00,Eu concordo,35,Brasil,XP Investimento ,Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,15 anos a 20 anos,Eu uso raramente,Eu nunca usei antes,Não,4,<<javascript>> :Comments,3,3,2,,Tentará executar o comando rollback(),5,Sim,4,4,3,,"Traz uma melhor compreensão do fluxo, de entender cada componente e como ele se comporta.",Falta de seta para indicar os fluxo.,Setas indicativas do fluxo ,Validações de projeto complexos,Não 
29/02/2020 13:52:09,Eu concordo,33,Brasil,"Analista de Sistemas remoto na Obramax , São Paulo - SP (terceirizado)",Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,1 ano a 5 anos,10 anos a 15 anos,Eu uso raramente,Eu nunca usei antes,Não,3,<<service>> : PluckService,4,3,4,"1 - não achei nada relacionado ao CAPTCHA no modelo. Nenhuma das ações remete algo nesse sentido
2 - a combinações de respostas: ""não sei"" e ""estou muito confiante"" é bem estranha. Se eu digo que não sei algo, eu estou 100% confiante que eu não sei (hahah)
3 - no modelo do vídeo, todas as ações possuem o prefixo ""out"", o que inicialmente entendo com algo relacionado a ""output"", mas o Bruno me esclareceu que é algo do programa utilizado para criar o modelo
4 - não entendi o conceito da questão sobre ""publicar o comentário"", se seria mais uma pergunta técnica como: um cliente javascript ""publicar os dados do comentário"" para serem processados pelo servidor... ou se o conceito seria mais negocial",Tentará executar o comando rollback(),4,Eu não sei,5,3,3,"O cenário proposto exige um conhecimento e/ou vivência de trabalho de Spring e Hibernate. Faz 5 anos que não vejo nenhum código de aplicações Java, não lembro onde estão os métodos saveOrUpdate() e o close(). Penso que dar mais detalhes das informações (como Classes dos métodos) ou apresentá-las no modelo é de suma importância para que alguém com meu perfil consiga responder as perguntas. Sinceramente, estou me sentindo fazendo uma prova sem ter estudado a matéria.","Nunca estudei modelos executáveis, ou seja, não tenho parametros nem pra dizer se os modelos estão corretos ou incorretos... concluindo, não sou uma pessoa adequada para responder esta pergunta.","Nunca estudei modelos executáveis, ou seja, não tenho parametros nem pra dizer se os modelos estão corretos ou incorretos... concluindo, não sou uma pessoa adequada para responder esta pergunta.",Acredito que o modelo deveria apresentar as informações para que se torne possível responder as questões relacionadas.,"Aparentemente, enxergo estes modelos executáveis como um ""diagrama de sequencia animado"", porém não consegui entender como os componentes se comunicam livremente, ou seja, a complexidade é bem maior.",Muita dificuldade! Poderiam dispopnibilizar  uma apostila de Java + Spring + Hibernate pra estudar antes de responder o questionário.
29/02/2020 14:51:34,Eu concordo,28,Brasil,Desq,Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,menos de 1 ano,5 anos a 10 anos,Eu faço uso de vez em quando,Eu uso raramente,Não,4,<<service>> : PluckService,3,3,2,,Tentará executar o comando rollback(),3,Não,4,2,2,,Abstração na visualização de processos internos de software,,"Uma linha mostrando o caminho percorrido pela requisição, entre as etapas",,
29/02/2020 15:20:04,Eu concordo,22,Brasil,FGV / Finxi,Estudante de Graduação,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,1 ano a 5 anos,1 ano a 5 anos,Eu nunca usei antes,Eu nunca usei antes,Não,3,<<service>> : PluckService,4,3,3,Falta uma pequena descrição sobre cada bloco.,Tentará executar o comando rollback(),5,Não,4,2,2,"Sem setas, após um tempo fica difícil manter a ordem na cabeça ",Deixar claro a ordenação do programa. Tanto os casos de sucesso quanto os de erro.,"Pensando no modo como trabalho com minha equipe atualmente, acho que seria um “problema” a mais para se pensar. Além de que o modelo ficaria muito grande caso quiséssemos ser mais detalhistas . ","Regras relacionadas a uma pequena descrição a cada bloco, tipo o limite de carácteres no Twitter. Setas ou algo parecido para deixar mais clara a ordem de execução do sistema. E por fim uma forma fácil de escalar os modelos para um projeto de grande escala.","Majoritariamente organização e documentação do projeto para a entrada de novos funcionários. Raramente para uso interno, caso alguma funcionalidade seja complexa a ponto de precisarmos lembrar de como funciona.",Achei os vídeos um pouco lentos e não muito intuitivo. Não sei se os pontos bons cobrem a dificuldade de entender os modelos / necessidade de ter que aprender outro tópico.
29/02/2020 15:25:01,Eu concordo,28,Brasil,GoGeo,Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,menos de 1 ano,Eu uso raramente,Eu uso raramente,Não,5,<<service>> : PluckService,5,5,4,,Tentará executar o comando rollback(),4,Sim,4,4,4,,Permitiu visualizar o fluxo de execução dos casos de forma inteligível. ,Creio que se houver muitos casos ficará trabalhoso representar todos eles.,Arestas entre os estados com a descrição da ação executada. ,"No momento, nenhuma.","Vídeos são bem interessantes, no entanto, em um primeiro momento, fica mais difícil memorizar todos os casos. Acredito que se tivesse uma ou mais figuras descrevendo os casos seria mais fácil responder as perguntas.  "
29/02/2020 16:04:15,Eu concordo,38,Brasil,IPOG / PMI ,Estudante de Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Feminino,5 anos a 10 anos,15 anos a 20 anos,Eu nunca usei antes,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,,1,,Eu não sei,1,,,,,,,,,,
29/02/2020 20:31:40,Eu concordo,27,Brasil,ZG Solucoes,Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu uso raramente,Não,5,<<service>> : PluckService,4,3,4,Dificuldade inicial para entender o cenário,Tentará executar o comando rollback(),5,Sim,5,4,4,Imagino que uma pessoa sem conhecimento de Hibernate/Spring terá dificuldade em responder as questões,,,,,
11/03/2020 17:16:55,Eu concordo,45,Brasil,UTFPR,Doutorado,Pesquisador Acadêmico,Masculino,mais de 20 anos,mais de 20 anos,Eu uso frequentemente,Eu uso raramente,Eu não sei,1,Eu não sei,1,1,1,,Eu não sei,1,Eu não sei,1,1,1,,,,,,"Sim, os casos de uso não estão claros."
12/03/2020 11:30:43,Eu concordo,50,Brasil,Mackenzie,Doutorado,Pesquisador Acadêmico,Feminino,mais de 20 anos,5 anos a 10 anos,Eu uso frequentemente,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,2,1,"Não entendi o cenário e deduzi o que são os elementos no modelo. O modelo dinâmico não me ajuda a ver toda a conversar, tenho que ficar repassando o video varias vezes.",Eu não sei,5,Eu não sei,5,2,1,A mesma anterior.,Não identifiquei.,Não compreendi os elementos e a visão dinâmica não me deixa ver o modelo completo.,Manter o histórico da dinâmica ao longo da apresentação.,,Um pouco longo.
14/03/2020 00:53:45,Eu concordo,32,Brasil,UTFPR,Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu uso raramente,Eu uso raramente,Não,4,<<service>> : PluckService,3,4,4,"Eu explicaria mais o cenário, o fluxo de execução e o que esperar. A semântica da interação entre serviços . Compreendi que são retornos e chamadas de funções, mas isso não estava explicito. Compreender um modelo não pode ser mais complexo que olhar uma função e ver o que está acontecendo - serviço a serviço. Eu faria uma descrição um pouco mais detalhada sobre cada serviço e cada interação. Se você notar, a interação nada mais é do que um autômato. Um modelo tem uma semântica que embora trivial para quem elaborou o mesmo pode ser complexo para quem está com a cabeça em contextos diversos. Talvez uma figura com o fluxo de sucesso e de falha estilo fluxograma ficaria mais compreensível. Isso não tiraria a ideia do uso do modelo para o problema, apenas complementaria ao meu ver. Na questão que você se refere ao captcha, suponho que o que você se refere com captcha seja o DWR Service. Isso não está explicito, creio que haja uma validação ali, mas não está explicito que é um captcha. Poderia ser outra coisa, por exemplo.",Tentará executar o comando rollback(),4,Sim,4,4,4,"Você se refere ao método Close, creio que seja o que você traduziu como fechar. ","Não foi tão complexo, compreendi que há um fluxo de execução e diversos métodos são chamados. A ordem de chamamento desse métodos já estava predefinida, imagino. O modelo auxiliou na compreensão do fluxo de execução. Não sei dizer se em um cenário real de desenvolvimento isso seria viável. Digo, desenvolver usando apenas o modelo. Não se sabe o que está encapsulado nos serviços, não se sabe como seria manutenibilidade do fluxo e nem dos próprios modelos. Abordagens dirigidas por modelos fazem com que especifiquemos o domínio, mas dentro do próprio domínio, nem sempre é possível especificar tudo. Por ser específico, a modelagem trata coisas específicas e nem sempre é possível ter um modelo genérico suficiente que cubra todo o domínio. Aí entra a questão da manutenibilidade dos próprios modelos,  mater modelos, as vezes é mais complexo que manter o próprio código gerado por eles. Em cenários reais, seria necessário avaliar a viabilidade prática considerando a característica central dos requisitos dos sistemas modernos: a mudança. Modelos referem-se a abordagens mais planejadas para desenvolvimento. Isso é extremamente complexo de se avaliar e tirar conclusoes que possam ser generalizadas por um caso específico de aplicação de modelos executáveis, sobretudo, considerando que trata de um projeto supostamente individual em cenário acadêmico.","Ponto forte: compreensão facilitada do fluxo. Ponto fraco: não é possível saber o que há dentro das ""caixas"", uma mudança no cenário, com requisitos não pensados é dificil dizer. Mudança no fluxo, como seria? commits aninhados, como seriam, diversos aspectos entrecortando, como seria? Vê? a medida que o consideramos a complexidade real de um software o modelo deveria ser tão complexo e genericamente suficiente para considerar todos esses cenários que seria mais fácil desenvolver o software utilizando diretamente a linguagem do que desenvolver uma abordagem de modelos para tal. A abordagem se tornaria tão complexa em termos de manutenibilidade e ""genericidade"" que seria extremamente difícil. Ao meu ver, modelos devem ser usados para compreensão de um problema complexo e no contexto de desenvolvimento devem ser associados a abordagens tradicionais e ser feita uma utilização parcial para tirar proveito de suas características de reúso.  ","Como mencionei, o fluxo poderia ser modelado como uma autômato, creio. Já mencionei o que eu melhoraria anteriormente. Cuidado com traduções e com coisas que você acha trivial mas não estão explicitas para seu público alvo. ","Raríssimas. O contexto de desenvolvimento de software no Brasil é um contexto ágil. De acordo com a pesquisa “Mercado Brasileiro de Software e Serviços”, realizada pelo IDC para a Associação Brasileira das Empresas de Software (Abes), daquelas que atuavam no desenvolvimento e produção de software, cerca de 94% são classificadas como micro e pequenas empresas, quando analisadas pelo critério de número de funcionários.

As empresas dedicadas ao desenvolvimento e produção totalizaram 4.408 negócios e podem ser dividas por porte, sendo: micro empresas (45,62%), pequenas empresas (49,02%), média empresas (4,33%) e grandes empresas (1,03%). 

A engenharia de software classifica os modelos de processo e abordagens no que se refere aos requisitos em dois grandes grupos: mais planejados (cenários caricatos: cascata, MDE, linha de produtos) e menos planejados  (métodos ágeis: os requisitos vão sendo descobertos na medida em que o software evolui). O contexto mais planejado, tais como abordagens de linhas de produto e MDE é muito pouco aplicável no contexto de pequenas empresas. A questão do reúso nesse contexto pode ser classificada em desenvolvimento para reúso e com reúso. Eu utilizaria uma abordagem de modelos, apenas se ela permitisse entregar valor para o cliente com o menor custo de tempo e esforço possível. Creio que uma abordagem baseada em frameworks seria imensuravelmente mais ágil. Abordagens dirigidas por modelos não estão maduras o suficiente e há muitas controvérsias sobre sua aplicação no contexto ágil. Uma adoção possível seria para automatizar trabalho muito repetitivo no contexto de desenvolvimento de um produto, como as empresas são de porte micro é complexo mensurar isso no contexto do Brasil.  No contexto do seu trabalho, é complexo encontrar abordagem e comparação com outros métodos para eventualmente se buscar conclusões mais reais. Desenvolvimento com reúso deve ser comparado com desenvolvimento com reúso e desenvolvimento para reúso deve ser comparado com desenvovimento para reúso. São contextos diferentes. Modelos executáveis incluem as duas abordagens. Primeiro desenvolve para reúso (criação da abordagem com modelos), depois desenvolve com reúso (implementação efetiva do software). No contexto de modelos, no entanto, os modelos são o próprio software e, em tese, não se leva em consideração o desenvimento com reúso no que se refere a código gerado. Isso é complexo em projeto real em contexto ágil. Torna-se muito complexo trabalhar sempre em nível meta e manter a própria abordagem de modelos diante da lei número 1 de Lehman: Teoria unificada para evolução do software - Lei da modificação contínua: continuamente modificado ou progressivamente menos satisfatório.

No que se refere a abordagem em si, creio ser extremamente complexo comparar com algo. A avaliação seria mais qualitativa e relacionada a opinião pessoal do DEV. Claro, a partir disso é possível tirar boas conclusões, mas se é objetivo de uma avaliação ser isenta de viés porque seria então sua avaliação dependente de opinião do adotante. Pode ser que você receba respostas do tipo: ajudou na compreensão do problema, ajudou no entendimento do fluxo, ajudou no desenvolvimento com reúso e prejudicou quando se leva em consideracão o desenvolvimento para reúso, mas isso já é sabido sobre os modelos. Eu buscaria por uma conclusão diferente disso. 
",Nenhum problema. Faria algumas das modificações sugeridas e levaria em consideração o contexto real de aplicabilidade prática do método mais planejado no contexto brasileiro. 
17/03/2020 11:49:40,Eu concordo,36,Brasil,UFBA,Estudante de Doutorado,Pesquisador Acadêmico,Feminino,5 anos a 10 anos,15 anos a 20 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,1,Eu não sei,1,1,1,,Eu não sei,1,Sim,1,1,1,,,,,,
17/03/2020 12:34:10,Eu concordo,28,Brasil,ICMC-USP,Estudante de Doutorado,Apenas estudante,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Não,5,<<service>> : PluckService,5,4,3,,Tentará executar o comando rollback(),5,Sim,5,4,2,,"Neste caso, os modelos podem ajudar na compreensão do fluxo de chamadas entre diferentes partes do sistema, o que é útil para facilitar o entendimento de como o sistema funciona e, por consequência, apoiar diversas atividades do processo de desenvolvimento de software.",O esforço extra necessário para gerar os modelos. Deve-se avaliar o custo-benefício de tal técnica.,"Seria legal poder visualizar a call stack com aninhamento das chamadas. Além disso, as animações nem sempre são claras a respeito da comunicação entre os objetos. Talvez seja possível elaborar algo visual baseado no Diagrama de Comunicação da UML para melhorar este ponto.","Essencialmente, pode ser utilizado para facilitar a compreensão geral do sistema e em atividades relacionadas com análise de impacto de mudança, avaliação arquitetural, etc.",Não
17/03/2020 16:51:50,Eu concordo,36,Brasil,UFF,Doutorado,Pesquisador Acadêmico,Feminino,10 anos a 15 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu uso raramente,Não,4,<<service>> : PluckService,3,2,4,"Não conhecia o modelo e seu funcionamento e, como não teve nenhuma explicação preliminar, tive que rever o vídeo algumas vezes para entender como funciona",Tentará executar o comando rollback(),4,Sim,4,4,4,,"Facilidade de visualização do funcionamento
Facilidade para futuras manutenções e verificação do sistema","Demora muito a executar
Às vezes não ficava claro qual bloco estava sendo executado (ficava na dúvida entre dois modelos)","Tentar deixar o modelo que está sendo executado de uma cor diferente... pelo menos no vídeo, em alguns momentos era difícil fazer a distinção
As legendas das saídas também eram pequenas",Sistemas complexos,Não
18/03/2020 12:58:37,Eu concordo,41,Brasil,Unirio ,Estudante de Mestrado,"Profissional Não-Acadêmico (ex.: Governo, Industrial, etc.)",Masculino,menos de 1 ano,15 anos a 20 anos,Eu nunca usei antes,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,1,1,,Eu não sei,5,Eu não sei,5,1,1,,Não entendi muito bem ,Não entendi muito bem ,Não entendi muito bem ,Não entendi muito bem ,Sim! Não tenho conhecimento sobre o assunto
18/03/2020 20:46:18,Eu concordo,40,Brasil,UNIRIO,Estudante de Doutorado,Pesquisador Acadêmico,Masculino,5 anos a 10 anos,1 ano a 5 anos,Eu faço uso de vez em quando,Eu nunca usei antes,Eu não sei,5,Eu não sei,5,1,1,"Por não dominar o assunto e por inexistir algum exemplo, fica impossível avaliar eficácia do fluxo",Eu não sei,5,Sim,1,1,1,,O Fluxo parece ser promissor e possui similaridade como um depurador de funções,Não é intuitivo e carece de exemplo para ajudar o entendimento.,,,"Videos longos. O ideal seria utilizar versões de no máximo 60 min, em formato acelerado."
